Transaction_date,Payment_Type,Name,City,State,Country,Account_Created,Last_Login,ID,Count,Brand,Model
2019-01-12 12:37:00,Visa,Janet,Marietta,GA,United States,2017-09-13 14:20:00,2019-01-17 16:17:00,17,2,Samsung,Samsung Galaxy S10
2019-01-06 05:02:00,Diners,barbara,Hyderabad,Andhra Pradesh,India,2019-01-06 02:41:00,2019-01-06 07:52:00,18,1,HTC,HTC U 12
2019-01-06 07:45:00,Visa,Sabine,London,England,United Kingdom,2019-01-06 07:00:00,2019-01-06 09:17:00,19,2,Apple,Apple iPhone 7
2019-01-14 01:28:00,Mastercard,Sabine,Milton Keynes,England,United Kingdom,2016-06-24 15:10:00,2019-02-07 00:26:00,19,2,Apple,Apple iPhone XR
2019-01-02 07:35:00,Diners,Hani,Salt Lake City,UT,United States,2018-12-30 05:44:00,2019-01-06 10:52:00,20,1,Motorola,Motorola Moto E6 Plus
2019-01-07 04:45:00,Amex,Jeremy,London,England,United Kingdom,2019-01-07 04:30:00,2019-01-26 08:01:00,21,2,Apple,Apple iPhone XR
2019-01-06 12:56:00,Visa,Jeremy,Manchester,England,United Kingdom,2019-01-06 10:58:00,2019-01-06 13:31:00,21,2,Samsung,Samsung Galaxy S10e
2019-01-01 11:05:00,Diners,Janis,Ballynora,Cork,Ireland,2017-12-10 12:37:00,2019-01-07 01:52:00,22,1,LG,LG G8X ThinQ
2019-01-05 04:10:00,Mastercard,Nicola,Roodepoort,Gauteng,South Africa,2019-01-05 02:33:00,2019-01-07 05:13:00,23,4,Apple,Apple iPhone 11 Pro Max
2019-01-10 19:28:00,Visa,Nicola,San Jose,CA,United States,2015-08-05 00:29:00,2019-02-05 21:10:00,23,4,Apple,Apple iPhone 11 Pro
2019-01-19 06:50:00,Amex,Nicola,Bruxelles,Brussels (Bruxelles),Belgium,2018-07-13 11:29:00,2019-02-18 02:30:00,23,4,Apple,Apple iPhone XS
2019-01-26 14:43:00,Visa,Nicola,Sneem,Kerry,Ireland,2019-01-26 13:55:00,2019-02-17 11:07:00,23,4,Motorola,Motorola Razr
2019-01-06 07:18:00,Visa,asuman,Chula Vista,CA,United States,2019-01-06 07:07:00,2019-01-07 07:08:00,24,1,Apple,Apple iPhone 11 Pro
2019-01-02 01:11:00,Mastercard,Lena,Kuopio,Ita-Suomen Laani,Finland,2018-12-31 02:48:00,2019-01-07 10:20:00,25,1,Motorola,Motorola Razr
2019-01-22 15:59:00,Visa,Lisa,Ottawa,Ontario,Canada,2019-01-21 09:28:00,2019-02-25 17:15:00,26,10,Samsung,Samsung Galaxy Note 9
2019-01-17 04:03:00,Visa,Lisa,Borja,Bohol,Philippines,2019-01-17 02:45:00,2019-02-09 06:09:00,26,10,Samsung,Samsung Galaxy Note 10
2019-01-05 00:46:00,Amex,Lisa,Gurgaon,Haryana,India,2019-01-02 03:03:00,2019-01-27 00:17:00,26,10,Samsung,Samsung Galaxy S9e
2019-01-31 15:25:00,Visa,Lisa,Ringgold,GA,United States,2019-01-28 09:54:00,2019-02-20 15:53:00,26,10,Samsung,Samsung Galaxy S9 Plus
2019-01-18 20:16:00,Mastercard,Lisa,Princeton,NJ,United States,2019-01-18 19:47:00,2019-01-26 13:07:00,26,10,Samsung,Samsung Galaxy S10
2019-01-28 03:07:00,Visa,Lisa,Anse Comeau,Quebec,Canada,2019-01-26 11:47:00,2019-01-28 08:08:00,26,10,Sony,Sony Xperia XA2 Plus
2019-01-12 11:48:00,Mastercard,Lisa,South Waterford,ME,United States,2017-07-05 14:58:00,2019-02-17 15:29:00,26,10,Samsung,Samsung Galaxy S9
2019-01-16 05:07:00,Amex,Lisa,Brulon,Pays de la Loire,France,2017-08-06 07:48:00,2019-01-25 11:42:00,26,10,Samsung,Samsung Galaxy Note 9
2019-01-01 02:24:00,Visa,Lisa,Sugar Land,TX,United States,2019-01-01 01:56:00,2019-01-07 10:52:00,26,10,Samsung,Samsung Galaxy S10 Plus 1TB
2019-01-12 23:35:00,Visa,Lisa,Perth,Western Australia,Australia,2016-05-08 23:41:00,2019-02-12 03:46:00,26,10,Samsung,Samsung Galaxy Note 8
2019-01-07 08:08:00,Diners,Bryan Kerrene,New York,NY,United States,2019-01-07 07:39:00,2019-01-07 12:38:00,27,1,Samsung,Samsung Galaxy S10
2019-01-02 02:57:00,Visa,chris,London,England,United Kingdom,2018-01-03 07:23:00,2019-01-07 13:14:00,28,3,Apple,Apple iPhone 11
2019-01-24 03:36:00,Visa,chris,Kjobenhavn,Staden Kobenhavn,Denmark,2019-01-20 13:11:00,2019-02-07 06:52:00,28,3,Motorola,Motorola Moto G8 Plus
2019-01-11 02:04:00,Visa,chris,Gold Coast,Queensland,Australia,2019-01-11 00:33:00,2019-01-11 02:11:00,28,3,Huawei,Huawei Nova 6 SE
2019-01-01 20:21:00,Visa,Maxine,Morton,IL,United States,2018-10-24 06:48:00,2019-01-07 20:49:00,29,1,Samsung,Samsung Galaxy Note 10 Plus
2019-01-25 02:46:00,Visa,Family,Dubai,Dubayy,United Arab Emirates,2019-01-08 01:19:00,2019-02-08 02:06:00,30,2,LG,LG K12+
2019-01-08 00:42:00,Visa,Family,Los Gatos,CA,United States,2019-01-08 00:28:00,2019-01-08 03:39:00,30,2,Samsung,Samsung Galaxy Note 10 Plus
2019-01-27 15:28:00,Visa,Katherine,Corrales,NM,United States,2019-01-17 17:52:00,2019-01-27 15:17:00,31,4,Huawei,Huawei Nova 6 SE
2019-01-08 03:56:00,Mastercard,Katherine,New York,NY,United States,2019-01-08 03:33:00,2019-01-08 06:19:00,31,4,Huawei,Huawei Nova 6 SE
2019-01-11 10:51:00,Mastercard,Katherine,Hofheim am Taunus,Hessen,Germany,2018-12-06 01:34:00,2019-01-18 07:17:00,31,4,Motorola,Motorola One Macro
2019-01-15 08:12:00,Visa,Katherine,Marietta,GA,United States,2019-01-13 10:03:00,2019-02-03 07:44:00,31,4,Sony,Sony Xperia L2
2019-01-17 12:59:00,Diners,Linda,Den Haag,Zuid-Holland,Netherlands,2018-10-29 13:09:00,2019-01-17 13:07:00,32,2,HTC,HTC U 12 Life
2019-01-08 03:16:00,Mastercard,Linda,Miami,FL,United States,2019-01-08 03:06:00,2019-01-08 06:34:00,32,2,Samsung,Samsung Galaxy S10e
2019-01-08 01:59:00,Mastercard,SYLVIA,Vesenaz,Geneve,Switzerland,2017-11-28 11:56:00,2019-01-08 07:20:00,33,1,Apple,Apple iPhone XS
2019-01-03 09:03:00,Diners,Sheila,Brooklyn,NY,United States,2019-01-03 08:47:00,2019-01-08 10:38:00,34,1,Motorola,Motorola One Zoom
2019-01-05 13:17:00,Mastercard,Stephanie,Badhoevedorp,Noord-Holland,Netherlands,2019-01-05 12:45:00,2019-01-08 11:45:00,35,6,Apple,Apple iPhone X
2019-01-23 10:45:00,Visa,Stephanie,Saint Charles,IL,United States,2019-01-23 08:46:00,2019-02-11 17:57:00,35,6,Apple,Apple iPhone XR
2019-01-30 23:49:00,Visa,Stephanie,Hilversum,Noord-Holland,Netherlands,2018-11-30 11:54:00,2019-02-21 14:05:00,35,6,Apple,Apple iPhone 11
2019-01-11 14:17:00,Visa,Stephanie,Brussels,Brussels (Bruxelles),Belgium,2019-01-11 13:39:00,2019-01-11 13:39:00,35,6,Apple,Apple iphone XS Max
2019-01-12 07:23:00,Visa,Stephanie,Fairfax,CA,United States,2019-01-11 14:42:00,2019-02-06 16:13:00,35,6,Apple,Apple iPhone X
2019-01-15 03:43:00,Visa,Stephanie,Rouen,Upper Normandy,France,2018-12-26 09:01:00,2019-01-15 05:39:00,35,6,Apple,Apple iPhone 11 Pro
2019-01-02 18:54:00,Mastercard,Kelly,Hendersonville,TN,United States,2018-12-07 04:51:00,2019-02-12 11:31:00,36,3,Samsung,Samsung Galaxy S10e
2019-01-28 12:54:00,Mastercard,Kelly,Vancouver,British Columbia,Canada,2019-01-27 21:04:00,2019-02-10 12:09:00,36,3,Huawei,Huawei P Smart Pro
2019-01-06 07:46:00,Amex,Kelly,Reston,VA,United States,2019-01-06 07:30:00,2019-01-08 12:40:00,36,3,Apple,Apple iPhone XS
2019-01-05 20:00:00,Visa,James,Burpengary,Queensland,Australia,2018-12-10 19:53:00,2019-01-08 17:58:00,37,3,LG,LG X6
2019-01-09 14:25:00,Amex,James,Guer,Brittany,France,2018-04-07 00:00:00,2019-01-26 05:32:00,37,3,Apple,Apple iPhone 8 Plus
2019-01-20 08:58:00,Visa,James,Edmonton,Alberta,Canada,2018-12-24 17:51:00,2019-02-18 09:42:00,37,3,Apple,Apple iPhone 7
2019-01-08 16:24:00,Visa,jennifer,Phoenix,AZ,United States,2019-01-08 15:57:00,2019-01-08 18:30:00,38,2,LG,LG K12+
2019-01-08 12:04:00,Visa,jennifer,Morro Bay,CA,United States,2013-12-01 19:13:00,2019-02-05 22:11:00,38,2,Samsung,Samsung Galaxy S9 Plus
2019-01-09 06:39:00,Mastercard,Anneli,Houston,TX,United States,2019-01-09 05:09:00,2019-01-09 07:11:00,39,1,Alcatel,Alcatel 3
2019-01-06 22:19:00,Amex,Ritz,Pittsfield,VT,United States,2019-01-06 12:00:00,2019-01-09 10:05:00,40,1,Apple,Apple iPhone XR
2019-01-03 09:54:00,Visa,Sylvia,Zekeriyakoy,Istanbul,Turkey,2018-12-29 10:38:00,2019-01-19 07:37:00,41,3,HTC,HTC Desire 19s
2019-01-06 23:00:00,Amex,Sylvia,Pittsfield,VT,United States,2019-01-06 12:00:00,2019-01-09 10:05:00,41,3,Motorola,Motorola One Macro
2019-01-17 09:12:00,Amex,Sylvia,Alexandria,VA,United States,2016-12-26 14:23:00,2019-02-21 04:50:00,41,3,Samsung,Samsung Galaxy Note 10
2019-01-07 17:51:00,Visa,Marie,Dickerson,MD,United States,2016-01-13 09:38:00,2019-01-26 11:35:00,42,3,ZTE,ZTE Axon 9 Pro
2019-01-07 07:44:00,Mastercard,Marie,Ball Ground,GA,United States,2019-01-07 05:35:00,2019-01-09 10:52:00,42,3,Samsung,Samsung Galaxy Note 8
2019-01-20 08:51:00,Visa,Marie,Winchester,MA,United States,2018-07-23 14:59:00,2019-01-22 18:08:00,42,3,Apple,Apple iPhone 11
2019-01-03 13:24:00,Visa,Mehmet Fatih,Helsingor,Frederiksborg,Denmark,2019-01-03 12:47:00,2019-01-09 11:14:00,43,1,LG,LG K12+
2019-01-07 15:12:00,Visa,Anabela,Flossmoor,IL,United States,2019-01-05 19:55:00,2019-01-09 16:03:00,44,1,Apple,Apple iPhone XS
2019-01-09 15:32:00,Diners,Nicole,Basingstoke,England,United Kingdom,2019-01-07 12:31:00,2019-01-17 12:03:00,45,9,Apple,Apple iPhone 7
2019-01-01 08:09:00,Mastercard,Nicole,South Melbourne,Victoria,Australia,2018-12-30 00:55:00,2019-01-31 05:40:00,45,9,Apple,Apple iPhone 11
2019-01-30 06:48:00,Mastercard,Nicole,Fayetteville,NC,United States,2019-01-30 04:51:00,2019-02-10 14:41:00,45,9,Apple,Apple iPhone 7 Plus
2019-01-05 18:55:00,Visa,Nicole,Mc Lean,VA,United States,2018-04-03 16:57:00,2019-02-12 10:25:00,45,9,Apple,Apple iPhone 7 Plus
2019-01-17 10:14:00,Mastercard,Nicole,Simcoe,Ontario,Canada,2019-01-17 07:46:00,2019-02-18 18:49:00,45,9,Apple,Apple iPhone 7
2019-01-11 14:56:00,Visa,Nicole,Aardal,Sogn og Fjordane,Norway,2019-01-05 05:51:00,2019-01-31 04:21:00,45,9,Apple,Apple iPhone 11 Pro
2019-01-07 20:15:00,Amex,Nicole,Houston,TX,United States,2019-01-07 17:17:00,2019-01-09 20:02:00,45,9,Samsung,Samsung Galaxy Note 8
2019-01-15 11:26:00,Visa,Nicole,Brookline,MA,United States,2017-07-11 11:18:00,2019-01-20 14:01:00,45,9,Samsung,Samsung Galaxy S9e
2019-01-24 09:30:00,Visa,Nicole,Neuchatel,Neuchatel,Switzerland,2019-01-24 05:24:00,2019-02-14 13:45:00,45,9,Samsung,Samsung Galaxy Note 10
2019-01-03 10:11:00,Visa,Christiane,Delray Beach,FL,United States,2019-01-03 09:27:00,2019-01-10 09:46:00,46,3,Samsung,Samsung Galaxy S10
2019-01-28 05:36:00,Visa,Christiane,Black River,Black River,Mauritius,2019-01-09 08:10:00,2019-03-01 04:40:00,46,3,Samsung,Samsung Galaxy S10 Plus 1TB
2019-01-06 20:39:00,Mastercard,Christiane,Mission,British Columbia,Canada,2019-01-06 09:44:00,2019-02-23 08:55:00,46,3,Apple,Apple iPhone 8
2019-01-09 15:58:00,Mastercard,Sari,Newbury,England,United Kingdom,2019-01-09 14:53:00,2019-01-10 13:16:00,47,1,Samsung,Samsung Galaxy S10
2019-01-13 01:46:00,Mastercard,simone,Lyngby,Kobenhavn,Denmark,2017-10-30 12:03:00,2019-02-05 08:52:00,48,2,Samsung,Samsung Galaxy S10
2019-01-03 13:11:00,Mastercard,simone,Kobenhavn,Kobenhavn,Denmark,2018-10-31 00:31:00,2019-01-10 13:24:00,48,2,LG,LG V50S ThinQ 5G
2019-01-29 12:53:00,Visa,Vanessa,Arc-et-Senans,Franche-Comte,France,2019-01-29 10:10:00,2019-02-18 01:03:00,49,4,Samsung,Samsung Galaxy S10
2019-01-29 05:30:00,Diners,Vanessa,Ithaca,NY,United States,2019-01-29 04:49:00,2019-01-29 06:56:00,49,4,LG,LG V50S ThinQ 5G
2019-01-03 18:43:00,Visa,Vanessa,Cornwall,Ontario,Canada,2016-07-03 08:36:00,2019-02-17 06:17:00,49,4,Sony,Sony Xperia L3
2019-01-10 12:57:00,Amex,Vanessa,Sandy Springs,GA,United States,2017-02-07 20:16:00,2019-01-10 14:09:00,49,4,Samsung,Samsung Galaxy S9e
2019-01-10 14:43:00,Diners,Anupam,Kinsaley,Dublin,Ireland,2019-01-09 11:38:00,2019-01-10 14:37:00,50,1,Samsung,Samsung Galaxy Note 10
2019-01-10 12:05:00,Visa,Karina,Fort Lauderdale,FL,United States,2018-07-01 12:53:00,2019-01-10 16:33:00,51,1,Apple,Apple iPhone 11 Pro Max
2019-01-19 16:10:00,Mastercard,Frank,Old Greenwich,CT,United States,2019-01-19 15:31:00,2019-01-19 16:00:00,52,2,LG,LG X6
2019-01-06 01:20:00,Mastercard,Frank,Melbourne,Victoria,Australia,2019-01-02 17:51:00,2019-01-10 18:27:00,52,2,LG,LG K12+
2019-01-16 01:51:00,Visa,Angela,Vienna,Vienna,Austria,2019-01-16 01:38:00,2019-01-24 05:39:00,53,3,Samsung,Samsung Galaxy S10
2019-01-10 14:56:00,Visa,Angela,Ankeny,IA,United States,2019-01-08 03:06:00,2019-01-10 19:41:00,53,3,Samsung,Samsung Galaxy S9 Plus
2019-01-14 03:09:00,Mastercard,Angela,Newburgh,Scotland,United Kingdom,2017-04-25 05:08:00,2019-01-24 02:12:00,53,3,Huawei,Huawei Nova 6 5G
2019-01-07 10:01:00,Visa,Darren,Pittsboro,NC,United States,2019-01-07 09:04:00,2019-01-10 20:02:00,54,1,LG,LG K30
2019-01-01 01:26:00,Mastercard,Nikki,New Rochelle,NY,United States,2019-01-01 00:58:00,2019-01-10 21:31:00,55,1,Apple,Apple iPhone XS
2019-01-10 21:38:00,Visa,Anushka,Maple Ridge District Municipality,British Columbia,Canada,2019-01-10 21:17:00,2019-01-11 19:32:00,56,1,Samsung,Samsung Galaxy S10 Plus
2019-01-07 06:18:00,Mastercard,June,Beachwood,OH,United States,2016-02-23 11:56:00,2019-01-11 19:35:00,57,1,LG,LG K12+
2019-01-04 08:39:00,Diners,Baybars,Prince Albert,Saskatchewan,Canada,2019-01-03 17:17:00,2019-01-11 21:05:00,58,1,Samsung,Samsung Galaxy Note 9
2019-01-05 00:31:00,Mastercard,Bonnie,Saltsjobaden,Stockholm,Sweden,2019-01-04 23:45:00,2019-01-12 00:37:00,59,1,LG,LG X4
2019-01-07 19:03:00,Mastercard,Cindy,Englewood,CO,United States,2017-12-17 19:55:00,2019-01-24 19:19:00,60,3,Samsung,Samsung Galaxy S10 Plus
2019-01-03 16:56:00,Visa,Cindy,Glendora,CA,United States,2014-03-13 14:09:00,2019-02-14 11:23:00,60,3,Apple,Apple iPhone 8
2019-01-02 06:07:00,Visa,Cindy,Kemble,England,United Kingdom,2018-12-30 10:21:00,2019-01-12 02:24:00,60,3,LG,LG K30
2019-01-12 03:25:00,Mastercard,chrissy,W Lebanon,NH,United States,2019-01-12 03:12:00,2019-01-12 03:22:00,61,1,Samsung,Samsung Galaxy Note 8
2019-01-04 13:56:00,Mastercard,Tamar,Headley,England,United Kingdom,2017-11-29 09:23:00,2019-01-12 05:38:00,62,1,Motorola,Motorola E6 Play
2019-01-07 00:12:00,Mastercard,Deirdre,Lausanne,Vaud,Switzerland,2018-12-01 06:25:00,2019-01-12 06:55:00,63,1,Apple,Apple iPhone 11
2019-01-12 05:18:00,Mastercard,Bernadett,Southampton,England,United Kingdom,2019-01-12 04:45:00,2019-01-12 08:08:00,64,1,Apple,Apple iPhone X
2019-01-08 15:16:00,Visa,Dottie,Woodsboro,MD,United States,2019-01-08 14:56:00,2019-01-12 09:29:00,65,1,Apple,Apple iPhone 11 Pro
2019-01-11 11:33:00,Visa,Stefan,Stavanger,Rogaland,Norway,2019-01-11 09:02:00,2019-01-12 10:37:00,66,1,Samsung,Samsung Galaxy Note 8
2019-01-07 20:22:00,Visa,Gina,Red Deer,Alberta,Canada,2018-11-23 19:30:00,2019-01-12 12:24:00,67,1,Apple,Apple iPhone 11 Pro Max
2019-01-02 22:00:00,Diners,Lynne,Memphis,TN,United States,2019-01-02 21:04:00,2019-01-12 13:18:00,68,2,Apple,Apple iPhone 11 Pro
2019-01-22 18:44:00,Visa,Lynne,Southlake,TX,United States,2019-01-22 17:24:00,2019-01-25 15:02:00,68,2,Apple,Apple iPhone 11
2019-01-12 12:00:00,Mastercard,Tammy,Milford,ME,United States,2018-07-06 08:49:00,2019-02-21 18:45:00,69,2,Apple,Apple iPhone 8
2019-01-05 13:52:00,Mastercard,Tammy,Morges,Vaud,Switzerland,2019-01-05 05:55:00,2019-01-12 14:04:00,69,2,Apple,Apple iPhone 7
2019-01-08 20:32:00,Visa,Kim,Calgary,Alberta,Canada,2019-01-08 20:21:00,2019-01-12 14:07:00,70,7,Sony,Sony Xperia 5
2019-01-13 20:22:00,Visa,Kim,Kelowna,British Columbia,Canada,2018-08-02 14:28:00,2019-01-25 19:25:00,70,7,Sony,Sony Xperia L3
2019-01-02 02:50:00,Visa,Kim,Newcastle,Wicklow,Ireland,2015-10-12 06:56:00,2019-02-04 02:19:00,70,7,Samsung,Samsung Galaxy Note 10
2019-01-29 16:07:00,Diners,Kim,Paris,Ile-de-France,France,2019-01-29 15:45:00,2019-02-10 22:24:00,70,7,Motorola,Motorola Moto G8 Play
2019-01-25 19:59:00,Visa,Kim,Seattle,WA,United States,2018-08-13 18:27:00,2019-02-01 16:04:00,70,7,Sony,Sony Xperia 5
2019-01-05 05:33:00,Mastercard,Kim,London,England,United Kingdom,2015-12-08 13:22:00,2019-01-27 04:49:00,70,7,Sony,Sony Xperia Ace
2019-01-06 14:08:00,Mastercard,Kim,Brussels,Brussels (Bruxelles),Belgium,2018-12-18 07:04:00,2019-02-21 10:49:00,70,7,Samsung,Samsung Galaxy S10e
2019-01-08 13:34:00,Visa,Bruce,Belleville,Ontario,Canada,2019-01-06 14:38:00,2019-01-12 18:31:00,71,1,Sony,Sony Xperia XZ2
2019-01-11 13:08:00,Visa,Rosa Maria,Cincinnati,OH,United States,2019-01-11 12:38:00,2019-01-12 18:44:00,72,1,Samsung,Samsung Galaxy S9 Plus
2019-01-12 19:04:00,Visa,Lydia,Comox,British Columbia,Canada,2018-09-20 20:53:00,2019-01-12 19:01:00,73,1,Samsung,Samsung Galaxy S10 Plus
2019-01-21 14:15:00,Amex,Eric,Ely,NV,United States,2019-01-21 13:56:00,2019-01-23 10:35:00,74,3,Apple,Apple iPhone 8 Plus
2019-01-12 13:41:00,Visa,Eric,Gasperich,Luxembourg,Luxembourg,2019-01-12 13:16:00,2019-01-13 01:03:00,74,3,HTC,Microsoft Lumia 950 XL
2019-01-14 06:35:00,Visa,Eric,Melbourne,Victoria,Australia,2018-07-25 07:02:00,2019-02-11 02:05:00,74,3,Samsung,Samsung Galaxy S10
2019-01-11 10:38:00,Mastercard,AnaPaula,Helens Bay,Northern Ireland,United Kingdom,2018-09-04 09:26:00,2019-01-13 02:36:00,75,1,LG,LG K50S
2019-01-13 05:57:00,Visa,Robin,Milan,Lombardy,Italy,2018-10-15 05:31:00,2019-01-13 05:55:00,76,1,Samsung,Samsung Galaxy S10e
2019-01-13 06:13:00,Visa,Gitte,Staten Island,NY,United States,2019-01-13 05:17:00,2019-01-13 07:33:00,77,1,Alcatel,Alcatel 1X
2019-01-08 13:14:00,Visa,Dr. Claudia,Oslo,Oslo,Norway,2019-01-08 12:47:00,2019-01-13 10:49:00,78,1,Apple,Apple iPhone 11
2019-01-02 11:41:00,Visa,Crystal,Farmington,Michigan,United States,2019-01-01 12:00:00,2019-01-13 18:34:00,79,1,Windows,Microsoft Lumia 950
2019-01-07 19:50:00,Diners,Delphine,Santa Monica,CA,United States,2019-01-03 12:04:00,2019-01-13 20:17:00,80,1,Samsung,Samsung Galaxy S9e
2019-01-01 20:28:00,Visa,nathalie,Calgary,Alberta,Canada,2019-01-01 20:11:00,2019-01-13 21:11:00,81,1,Apple,Apple iPhone 7
2019-01-03 15:22:00,Mastercard,Lindi,Vancouver,British Columbia,Canada,2018-02-20 22:45:00,2019-01-13 23:02:00,82,1,Motorola,Motorola E6 Play
2019-01-12 03:03:00,Mastercard,Valda,Irvine,CA,United States,2019-01-12 02:48:00,2019-01-14 01:07:00,83,1,Samsung,Samsung Galaxy Note 8
2019-01-05 08:58:00,Mastercard,Marcia,Telgte,Nordrhein-Westfalen,Germany,2018-09-01 03:39:00,2019-01-14 02:07:00,84,1,LG,LG X6
2019-01-28 07:07:00,Visa,Kevin,Berkeswell,England,United Kingdom,2019-01-28 06:57:00,2019-01-28 07:18:00,85,4,Huawei,Huawei Nova 6 5G
2019-01-23 10:04:00,Mastercard,Kevin,Hollywood,CA,United States,2016-05-30 20:25:00,2019-02-28 09:59:00,85,4,Motorola,Motorola Moto G8 Play
2019-01-10 14:03:00,Mastercard,Kevin,Cheltenham,England,United Kingdom,2016-03-13 04:56:00,2019-01-14 02:22:00,85,4,Apple,Apple iPhone XS
2019-01-21 02:15:00,Visa,Kevin,London,England,United Kingdom,2019-01-08 02:50:00,2019-01-22 13:46:00,85,4,Apple,Apple iPhone XS
2019-01-04 17:02:00,Mastercard,Clare,Lafayette,CA,United States,2015-12-31 00:55:00,2019-01-18 08:43:00,86,2,LG,LG X4
2019-01-13 11:26:00,Visa,Clare,Keller,VA,United States,2019-01-13 11:15:00,2019-01-14 02:39:00,86,2,LG,LG Q70
2019-01-02 12:18:00,Visa,Alice,Nakskov,Storstrom,Denmark,2017-12-05 11:37:00,2019-01-14 04:05:00,87,1,Alcatel,Alcatel 3X
2019-01-14 04:54:00,Mastercard,ZENA,Honolulu,HI,United States,2019-01-14 04:34:00,2019-01-14 04:43:00,88,1,Samsung,Samsung Galaxy Note 10
2019-01-01 18:32:00,Amex,Andrea,San Mateo,CA,United States,2018-12-31 17:09:00,2019-02-06 21:59:00,89,5,Apple,Apple iPhone 7 Plus
2019-01-20 06:03:00,Mastercard,Andrea,Shreveport,LA,United States,2019-01-20 05:13:00,2019-01-20 07:15:00,89,5,Sony,Sony Xperia 5
2019-01-08 12:03:00,Diners,Andrea,Calgary,Alberta,Canada,2018-08-13 15:58:00,2019-02-24 17:41:00,89,5,Apple,Apple iPhone 8 Plus
